Date (2020),District(s),Origin,Cases,Cases,Type of transmission,Source(s)
May-17,Ernakulam (Uttar Pradesh native),Maldives,1,601,T,[119]
May-17,Kollam,None,1,601,PTP,[119]
May-18,"Alappuzha (2), Ernakulam (1), Kannur (2), Kasargod (2), Kollam (6), Kottayam (2), Kozhikode (2), Malappuram (1), Palakkad (1), Pathanamthitta (2), Thiruvananthapuram (3), Thrissur (4)",Overseas,21,630,T,[120]
May-18,"Alappuzha (2), Ernakulam (1), Kannur (2), Kasargod (2), Kollam (6), Kottayam (2), Kozhikode (2), Malappuram (1), Palakkad (1), Pathanamthitta (2), Thiruvananthapuram (3), Thrissur (4)",Other states,7,630,T,[120]
May-18,Kannur,None,1,630,PTP,[120]
May-19,"Alappuzha (1), Kannur (5), Malappuram (3), Palakkad (1), Pathanamthitta (1), Thrissur (1)",Maharashtra,6,642,T,[121]
May-19,"Alappuzha (1), Kannur (5), Malappuram (3), Palakkad (1), Pathanamthitta (1), Thrissur (1)",Overseas,4,642,T,[121]
May-19,"Alappuzha (1), Kannur (5), Malappuram (3), Palakkad (1), Pathanamthitta (1), Thrissur (1)",Gujarat,1,642,T,[121]
May-19,"Alappuzha (1), Kannur (5), Malappuram (3), Palakkad (1), Pathanamthitta (1), Thrissur (1)",Tamil Nadu,1,642,T,[121]
May-20,"Alappuzha (1), Ernakulam (1), Kannur (2), Kasargod (1), Kozhikode (1), Malappuram (4), Palakkad (7), Pathanamthitta (2), Thiruvananthapuram (2), Thrissur (2)",Overseas,12,666,T,[122]
May-20,"Alappuzha (1), Ernakulam (1), Kannur (2), Kasargod (1), Kozhikode (1), Malappuram (4), Palakkad (7), Pathanamthitta (2), Thiruvananthapuram (2), Thrissur (2)",Maharashtra,8,666,T,[122]
May-20,"Alappuzha (1), Ernakulam (1), Kannur (2), Kasargod (1), Kozhikode (1), Malappuram (4), Palakkad (7), Pathanamthitta (2), Thiruvananthapuram (2), Thrissur (2)",Tamil Nadu,3,666,T,[122]
May-20,Kannur,None,1,666,PTP,[122]
May-21,"Alappuzha (2), Idukki(1), Kannur (4), Kasargod (1), Kollam (2), Kottayam (3), Malappuram (5), Palakkad (1), Thiruvananthapuram (2), Thrissur (3)",Overseas,14,690,T,[123]
May-21,"Alappuzha (2), Idukki(1), Kannur (4), Kasargod (1), Kollam (2), Kottayam (3), Malappuram (5), Palakkad (1), Thiruvananthapuram (2), Thrissur (3)",Maharashtra,5,690,T,[123]
May-21,"Alappuzha (2), Idukki(1), Kannur (4), Kasargod (1), Kollam (2), Kottayam (3), Malappuram (5), Palakkad (1), Thiruvananthapuram (2), Thrissur (3)",Tamil Nadu,3,690,T,[123]
May-21,"Alappuzha (2), Idukki(1), Kannur (4), Kasargod (1), Kollam (2), Kottayam (3), Malappuram (5), Palakkad (1), Thiruvananthapuram (2), Thrissur (3)",Andhra Pradesh,1,690,T,[123]
May-21,"Alappuzha (2), Idukki(1), Kannur (4), Kasargod (1), Kollam (2), Kottayam (3), Malappuram (5), Palakkad (1), Thiruvananthapuram (2), Thrissur (3)",Gujarat,1,690,T,[123]
May-22,"Kannur (12), Kasargod (7), Kollam (1), Kottayam (2), Kozhikode (5), Malappuram (4), Palakkad (5), Pathanamthitta (1), Thrissur (4), Wayanad (1)",Maharashtra,21,732,T,[124]
May-22,"Kannur (12), Kasargod (7), Kollam (1), Kottayam (2), Kozhikode (5), Malappuram (4), Palakkad (5), Pathanamthitta (1), Thrissur (4), Wayanad (1)",Overseas,17,732,T,[124]
May-22,"Kannur (12), Kasargod (7), Kollam (1), Kottayam (2), Kozhikode (5), Malappuram (4), Palakkad (5), Pathanamthitta (1), Thrissur (4), Wayanad (1)",None,2,732,PTP,[124]
May-22,"Kannur (12), Kasargod (7), Kollam (1), Kottayam (2), Kozhikode (5), Malappuram (4), Palakkad (5), Pathanamthitta (1), Thrissur (4), Wayanad (1)",Andhra Pradesh,1,732,T,[124]
May-22,"Kannur (12), Kasargod (7), Kollam (1), Kottayam (2), Kozhikode (5), Malappuram (4), Palakkad (5), Pathanamthitta (1), Thrissur (4), Wayanad (1)",Tamil Nadu,1,732,T,[124]
May-23,"Alappuzha (5), Kannur (16), Kasargod (4), Kollam (3), Kottayam (2), Kozhikode (4), Malappuram (8), Palakkad (19), Wayanad (1)",Overseas,18,794,T,
May-23,"Alappuzha (5), Kannur (16), Kasargod (4), Kollam (3), Kottayam (2), Kozhikode (4), Malappuram (8), Palakkad (19), Wayanad (1)",None,13,794,PTP,
May-23,"Alappuzha (5), Kannur (16), Kasargod (4), Kollam (3), Kottayam (2), Kozhikode (4), Malappuram (8), Palakkad (19), Wayanad (1)",Maharashtra,13,794,T,
May-23,"Alappuzha (5), Kannur (16), Kasargod (4), Kollam (3), Kottayam (2), Kozhikode (4), Malappuram (8), Palakkad (19), Wayanad (1)",Tamil Nadu,12,794,T,
May-23,"Alappuzha (5), Kannur (16), Kasargod (4), Kollam (3), Kottayam (2), Kozhikode (4), Malappuram (8), Palakkad (19), Wayanad (1)",Gujarat,2,794,T,
May-23,"Alappuzha (5), Kannur (16), Kasargod (4), Kollam (3), Kottayam (2), Kozhikode (4), Malappuram (8), Palakkad (19), Wayanad (1)",Karnataka,2,794,T,
May-23,"Alappuzha (5), Kannur (16), Kasargod (4), Kollam (3), Kottayam (2), Kozhikode (4), Malappuram (8), Palakkad (19), Wayanad (1)",New Delhi,1,794,T,
May-23,"Alappuzha (5), Kannur (16), Kasargod (4), Kollam (3), Kottayam (2), Kozhikode (4), Malappuram (8), Palakkad (19), Wayanad (1)",Uttar Pradesh,1,794,T,
May-24,"Alappuzha (4), Ernakulam (4), Kannur (12), Kasargod (5), Kollam (3), Kozhikode (1), Malappuram (5), Palakkad (4), Pathanamthitta (5), Thiruvananthapuram (12)",Maharashtra,19,847,T,[125]
May-24,"Alappuzha (4), Ernakulam (4), Kannur (12), Kasargod (5), Kollam (3), Kozhikode (1), Malappuram (5), Palakkad (4), Pathanamthitta (5), Thiruvananthapuram (12)",Overseas,18,847,T,[125]
May-24,"Alappuzha (4), Ernakulam (4), Kannur (12), Kasargod (5), Kollam (3), Kozhikode (1), Malappuram (5), Palakkad (4), Pathanamthitta (5), Thiruvananthapuram (12)",Gujarat,5,847,T,[125]
May-24,"Alappuzha (4), Ernakulam (4), Kannur (12), Kasargod (5), Kollam (3), Kozhikode (1), Malappuram (5), Palakkad (4), Pathanamthitta (5), Thiruvananthapuram (12)",None,5,847,PTP,[125]
May-24,"Alappuzha (4), Ernakulam (4), Kannur (12), Kasargod (5), Kollam (3), Kozhikode (1), Malappuram (5), Palakkad (4), Pathanamthitta (5), Thiruvananthapuram (12)",Tamil Nadu,4,847,T,[125]
May-24,"Alappuzha (4), Ernakulam (4), Kannur (12), Kasargod (5), Kollam (3), Kozhikode (1), Malappuram (5), Palakkad (4), Pathanamthitta (5), Thiruvananthapuram (12)",Madhya Pradesh,1,847,T,[125]
May-24,"Alappuzha (4), Ernakulam (4), Kannur (12), Kasargod (5), Kollam (3), Kozhikode (1), Malappuram (5), Palakkad (4), Pathanamthitta (5), Thiruvananthapuram (12)",New Delhi,1,847,T,[125]
May-25,"Alappuzha (3), Idukki (1), Kannur (10), Kasargod (14), Kollam (2), Kottayam (2), Kozhikode (4), Palakkad (5), Pathanamthitta (3), Thiruvananthapuram (5)",Maharashtra,25,896,T,
May-25,"Alappuzha (3), Idukki (1), Kannur (10), Kasargod (14), Kollam (2), Kottayam (2), Kozhikode (4), Palakkad (5), Pathanamthitta (3), Thiruvananthapuram (5)",Overseas,18,896,T,
May-25,"Alappuzha (3), Idukki (1), Kannur (10), Kasargod (14), Kollam (2), Kottayam (2), Kozhikode (4), Palakkad (5), Pathanamthitta (3), Thiruvananthapuram (5)",None,6,896,PTP,
May-26,"Alappuzha (3), Ernakulam (5), Kasargod (3), Kannur (8), Kollam (4), Kottayam (6), Malappuram (5), Palakkad (29), Thrissur (4)",Overseas,27,963,T,
May-26,"Alappuzha (3), Ernakulam (5), Kasargod (3), Kannur (8), Kollam (4), Kottayam (6), Malappuram (5), Palakkad (29), Thrissur (4)",Maharashtra,15,963,T,
May-26,"Alappuzha (3), Ernakulam (5), Kasargod (3), Kannur (8), Kollam (4), Kottayam (6), Malappuram (5), Palakkad (29), Thrissur (4)",Tamil Nadu,9,963,T,
May-26,"Alappuzha (3), Ernakulam (5), Kasargod (3), Kannur (8), Kollam (4), Kottayam (6), Malappuram (5), Palakkad (29), Thrissur (4)",None,7,963,PTP,
May-26,"Alappuzha (3), Ernakulam (5), Kasargod (3), Kannur (8), Kollam (4), Kottayam (6), Malappuram (5), Palakkad (29), Thrissur (4)",Gujarat,5,963,T,
May-26,"Alappuzha (3), Ernakulam (5), Kasargod (3), Kannur (8), Kollam (4), Kottayam (6), Malappuram (5), Palakkad (29), Thrissur (4)",Karnataka,2,963,T,
May-27,"Alappuzha (7), Ernakulam (2), Kasargod (10), Kannur (1), Kollam (4), Kozhikode (2), Palakkad (8), Pathanamthitta (3), Wayanad (3)",Maharashtra,16,1003,T,
May-27,"Alappuzha (7), Ernakulam (2), Kasargod (10), Kannur (1), Kollam (4), Kozhikode (2), Palakkad (8), Pathanamthitta (3), Wayanad (3)",Overseas,9,1003,T,
May-27,"Alappuzha (7), Ernakulam (2), Kasargod (10), Kannur (1), Kollam (4), Kozhikode (2), Palakkad (8), Pathanamthitta (3), Wayanad (3)",Tamil Nadu,5,1003,T,
May-27,"Alappuzha (7), Ernakulam (2), Kasargod (10), Kannur (1), Kollam (4), Kozhikode (2), Palakkad (8), Pathanamthitta (3), Wayanad (3)",New Delhi,3,1003,T,
May-27,"Alappuzha (7), Ernakulam (2), Kasargod (10), Kannur (1), Kollam (4), Kozhikode (2), Palakkad (8), Pathanamthitta (3), Wayanad (3)",None,3,1003,PTP,
May-27,"Alappuzha (7), Ernakulam (2), Kasargod (10), Kannur (1), Kollam (4), Kozhikode (2), Palakkad (8), Pathanamthitta (3), Wayanad (3)",Andhra Pradesh,1,1003,T,
May-27,"Alappuzha (7), Ernakulam (2), Kasargod (10), Kannur (1), Kollam (4), Kozhikode (2), Palakkad (8), Pathanamthitta (3), Wayanad (3)",Karnataka,1,1003,T,
May-27,"Alappuzha (7), Ernakulam (2), Kasargod (10), Kannur (1), Kollam (4), Kozhikode (2), Palakkad (8), Pathanamthitta (3), Wayanad (3)",Telangana,1,1003,T,
May-27,"Alappuzha (7), Ernakulam (2), Kasargod (10), Kannur (1), Kollam (4), Kozhikode (2), Palakkad (8), Pathanamthitta (3), Wayanad (3)",Uttar Pradesh,1,1003,T,
May-28,"Alappuzha (1), Idukki (1), Kasargod (18), Kannur (10), Malappuram (8), Kollam (1), Kottayam (3), Kozhikode (6), Palakkad (16), Pathanamthitta (6), Thiruvananthapuram (7), Thrissur (7)",Overseas,31,1088,T,
May-28,"Alappuzha (1), Idukki (1), Kasargod (18), Kannur (10), Malappuram (8), Kollam (1), Kottayam (3), Kozhikode (6), Palakkad (16), Pathanamthitta (6), Thiruvananthapuram (7), Thrissur (7)",Maharashtra,31,1088,T,
May-28,"Alappuzha (1), Idukki (1), Kasargod (18), Kannur (10), Malappuram (8), Kollam (1), Kottayam (3), Kozhikode (6), Palakkad (16), Pathanamthitta (6), Thiruvananthapuram (7), Thrissur (7)",Tamil Nadu,9,1088,T,
May-28,"Alappuzha (1), Idukki (1), Kasargod (18), Kannur (10), Malappuram (8), Kollam (1), Kottayam (3), Kozhikode (6), Palakkad (16), Pathanamthitta (6), Thiruvananthapuram (7), Thrissur (7)",None,5,1088,PTP,
May-28,"Alappuzha (1), Idukki (1), Kasargod (18), Kannur (10), Malappuram (8), Kollam (1), Kottayam (3), Kozhikode (6), Palakkad (16), Pathanamthitta (6), Thiruvananthapuram (7), Thrissur (7)",Karnataka,3,1088,T,
May-28,"Alappuzha (1), Idukki (1), Kasargod (18), Kannur (10), Malappuram (8), Kollam (1), Kottayam (3), Kozhikode (6), Palakkad (16), Pathanamthitta (6), Thiruvananthapuram (7), Thrissur (7)",Gujarat,2,1088,T,
May-28,"Alappuzha (1), Idukki (1), Kasargod (18), Kannur (10), Malappuram (8), Kollam (1), Kottayam (3), Kozhikode (6), Palakkad (16), Pathanamthitta (6), Thiruvananthapuram (7), Thrissur (7)",New Delhi,2,1088,T,
May-28,"Alappuzha (1), Idukki (1), Kasargod (18), Kannur (10), Malappuram (8), Kollam (1), Kottayam (3), Kozhikode (6), Palakkad (16), Pathanamthitta (6), Thiruvananthapuram (7), Thrissur (7)",Andhra Pradesh,1,1088,T,
May-29,"Alappuzha (3), Ernakulam (4), Idukki (1), Kasargod (4), Kannur (7), Malappuram (5), Kollam (2), Kottayam (3), Kozhikode (1), Palakkad (14), Pathanamthitta (5), Thiruvananthapuram (5), Thrissur (6), Wayanad (2)",Overseas,33,1150,T,
May-29,"Alappuzha (3), Ernakulam (4), Idukki (1), Kasargod (4), Kannur (7), Malappuram (5), Kollam (2), Kottayam (3), Kozhikode (1), Palakkad (14), Pathanamthitta (5), Thiruvananthapuram (5), Thrissur (6), Wayanad (2)",Maharashtra,10,1150,T,
May-29,"Alappuzha (3), Ernakulam (4), Idukki (1), Kasargod (4), Kannur (7), Malappuram (5), Kollam (2), Kottayam (3), Kozhikode (1), Palakkad (14), Pathanamthitta (5), Thiruvananthapuram (5), Thrissur (6), Wayanad (2)",Tamil Nadu,10,1150,T,
May-29,"Alappuzha (3), Ernakulam (4), Idukki (1), Kasargod (4), Kannur (7), Malappuram (5), Kollam (2), Kottayam (3), Kozhikode (1), Palakkad (14), Pathanamthitta (5), Thiruvananthapuram (5), Thrissur (6), Wayanad (2)",None,6,1150,PTP,
May-29,"Alappuzha (3), Ernakulam (4), Idukki (1), Kasargod (4), Kannur (7), Malappuram (5), Kollam (2), Kottayam (3), Kozhikode (1), Palakkad (14), Pathanamthitta (5), Thiruvananthapuram (5), Thrissur (6), Wayanad (2)",Karnataka,1,1150,T,
May-29,"Alappuzha (3), Ernakulam (4), Idukki (1), Kasargod (4), Kannur (7), Malappuram (5), Kollam (2), Kottayam (3), Kozhikode (1), Palakkad (14), Pathanamthitta (5), Thiruvananthapuram (5), Thrissur (6), Wayanad (2)",New Delhi,1,1150,T,
May-30,"Alappuzha (2), Ernakulam (4), Idukki (4), Kasargod (3), Kannur (8), Kollam (4), Kottayam (1), Kozhikode (4), Palakkad (9), Thiruvananthapuram (2), Thrissur (10), Others - Air India cabin crew (7)",Maharashtra,19,1208,T,
