Date (2020),District(s),Origin,Cases,Cases,Type of transmission,Source(s)
Apr-10,"Kannur (2), Kasargod (3), Malappuram (2)",None,5,364,PTP,[102]
Apr-11,"Kannur (7), Kasargod (2), Kozhikode (1)",Overseas,3,373,T,[103]
Apr-11,"Kannur (7), Kasargod (2), Kozhikode (1)",None,7,373,PTP,[103]
Apr-12,"Kannur (1), Pathanamthitta (1)",UAE,2,375,T,[104]
Apr-13,"Kannur (2), Palakkad (1)",None,2,378,PTP,[105]
Apr-13,"Kannur (2), Palakkad (1)",Overseas,1,378,T,[105]
Apr-14,"Kannur (4), Kasargod (1), Kozhikode (3)",UAE,5,386,T,
Apr-14,"Kannur (4), Kasargod (1), Kozhikode (3)",None,3,386,PTP,
Apr-15,Kannur,None,1,387,PTP,
16-Apr,"Kannur (2), Kasargod (1), Kozhikode (2)",Overseas,5,394,T,
16-Apr,Kannur,None,2,394,PTP,
17-Apr,Kozhikode,None,1,395,PTP,
18-Apr,"Kannur (2), Kozhikode (1)",UAE,3,399,T,
18-Apr,Kannur,None,1,399,PTP,
19-Apr,"Kannur (1), Kasargod (1)",UAE,2,401,T,
20-Apr,Kannur,UAE,5,407,T,
20-Apr,Kannur,None,1,407,PTP,
21-Apr,"Kasargod (3), Kannur (9)",UAE,12,426,T,[106]
21-Apr,"Kollam (1), Malappuram (1), Palakkad (4)",Tamil Nadu,5,426,T,[106]
21-Apr,Kannur,None,1,426,PTP,[106]
22-Apr,"Kannur (7), Kozhikode (2), Malappuram (1)",UAE,4,437,T,[107]
22-Apr,"Kannur (7), Kozhikode (2), Malappuram (1)",None,6,437,PTP,[107]
22-Apr,Kottayam,Australia,1,437,T,[107]
23-Apr,"Idukki (4), Kollam (1), Kottayam (2), Kozhikode (2), Thiruvananthapuram (1)",None,4,447,PTP,[108]
23-Apr,"Idukki (4), Kollam (1), Kottayam (2), Kozhikode (2), Thiruvananthapuram (1)",Tamil Nadu,4,447,T,[108]
23-Apr,"Idukki (4), Kollam (1), Kottayam (2), Kozhikode (2), Thiruvananthapuram (1)",UAE,2,447,T,[108]
24-Apr,Kasargod,None,3,450,PTP,[109]
25-Apr,"Kannur (1), Kollam (3), Kottayam (3)",None,7,457,PTP,
26-Apr,"Idukki (3), Kottayam (5)",None,8,468,PTP,
26-Apr,Idukki,Spain,1,468,T,
26-Apr,Idukki,Tamil Nadu,2,468,T,
27-Apr,"Idukki (4), Kannur (1), Kottayam (6), Malappuram (1), Palakkad (1)",Tamil Nadu,5,481,T,
27-Apr,"Idukki (4), Kannur (1), Kottayam (6), Malappuram (1), Palakkad (1)",None,7,481,PTP,
27-Apr,"Idukki (4), Kannur (1), Kottayam (6), Malappuram (1), Palakkad (1)",Overseas,1,481,T,
Apr-28,"Kannur (3), Kasargod (1)",Overseas,2,485,T,
Apr-28,"Kannur (3), Kasargod (1)",None,2,485,PTP,
Apr-29,"Kasargod (2), Kollam (5)",None,7,495,PTP,
Apr-29,Thiruvananthapuram,Tamil Nadu,1,495,T,
Apr-29,"Kollam, Thiruvananthapuram",Overseas,2,495,T,
Apr-30,Malappuram,Maharashtra,1,497,T,
Apr-30,Kasargod,None,1,497,PTP,
May-2,"Kannur (1), Wayanad (1)",None,2,499,PTP,
May-8,Ernakulam,Tamil Nadu,1,503,T,
May-9,Malappuram,UAE,2,505,T,[110][111]
May-10,"Ernakulam (1), Wayanad (2)",None,3,512,PTP,[112]
May-10,"Malappuram (1), Thrissur (2)",UAE,3,512,T,[112]
May-10,Wayanad,Tamil Nadu,1,512,T,[112]
May-11,Kasargod,Maharashtra,4,519,T,[113]
May-11,Palakkad,Tamil Nadu,1,519,T,[113]
May-11,Malappuram,Kuwait,1,519,T,[113]
May-11,Wayanad,None,1,519,PTP,[113]
May-12,"Kottayam (1), Malappuram (3), Pathanamthitta (1)",UAE,4,524,T,[114]
May-12,"Kottayam (1), Malappuram (3), Pathanamthitta (1)",Tamil Nadu,1,524,T,[114]
May-13,"Kannur (1), Kottayam (1), Kozhikode (1), Malappuram (3), Palakkad (2), Wayanad (2)",UAE,4,534,T,[115]
May-13,"Kannur (1), Kottayam (1), Kozhikode (1), Malappuram (3), Palakkad (2), Wayanad (2)",Kuwait,4,534,T,[115]
May-13,"Kannur (1), Kottayam (1), Kozhikode (1), Malappuram (3), Palakkad (2), Wayanad (2)",None,4,534,PTP,[115]
May-13,"Kannur (1), Kottayam (1), Kozhikode (1), Malappuram (3), Palakkad (2), Wayanad (2)",Tamil Nadu,2,534,T,[115]
May-14,"Kasargod (7), Palakkad (1), Wayanad (3)",None,11,560,PTP,[116]
May-14,"Kannur (2), Kasargod (3), Kozhikode (1), Malappuram (5), Palakkad (2), Pathanamthitta (1)",Kuwait,7,560,T,[116]
May-14,"Kannur (2), Kasargod (3), Kozhikode (1), Malappuram (5), Palakkad (2), Pathanamthitta (1)",Saudi Arabia,7,560,T,[116]
May-14,"Kannur (2), Kasargod (3), Kozhikode (1), Malappuram (5), Palakkad (2), Pathanamthitta (1)",UAE,7,560,T,[116]
May-14,"Kannur (2), Kasargod (3), Kozhikode (1), Malappuram (5), Palakkad (2), Pathanamthitta (1)",Maharashtra,4,560,T,[116]
May-14,"Kannur (2), Kasargod (3), Kozhikode (1), Malappuram (5), Palakkad (2), Pathanamthitta (1)",Tamil Nadu,2,560,T,[116]
May-14,"Kannur (2), Kasargod (3), Kozhikode (1), Malappuram (5), Palakkad (2), Pathanamthitta (1)",Karnataka,1,560,T,[116]
May-14,Idukki,Sentinel Survey,1,560,T,[116]
May-15,"Alappuzha (2), Kasargod (1), Kollam (1), Kozhikode (2), Malappuram (4), Palakkad (1), Wayanad (5)",Overseas,7,576,T,[117]
May-15,"Alappuzha (2), Kasargod (1), Kollam (1), Kozhikode (2), Malappuram (4), Palakkad (1), Wayanad (5)",Tamil Nadu,4,576,T,[117]
May-15,"Alappuzha (2), Kasargod (1), Kollam (1), Kozhikode (2), Malappuram (4), Palakkad (1), Wayanad (5)",Maharashtra,2,576,T,[117]
May-15,"Alappuzha (2), Kasargod (1), Kollam (1), Kozhikode (2), Malappuram (4), Palakkad (1), Wayanad (5)",None,3,576,PTP,[117]
May-16,"Kozhikode (3), Malappuram (2), Palakkad (2), Thrissur (4)",Overseas,7,587,T,[118]
May-16,"Kozhikode (3), Malappuram (2), Palakkad (2), Thrissur (4)",Tamil Nadu,2,587,T,[118]
May-16,"Kozhikode (3), Malappuram (2), Palakkad (2), Thrissur (4)",Maharashtra,2,587,T,[118]
May-17,"Kannur (2), Kasargod (1), Malappuram (4), Palakkad (2), Thrissur (1)",Tamil Nadu,7,601,T,[119]
May-17,"Kannur (2), Kasargod (1), Malappuram (4), Palakkad (2), Thrissur (1)",Maharashtra,3,601,T,[119]
May-17,Kozhikode,Kuwait,2,601,T,[119]
May-17,Kozhikode,UAE,2,601,T,[119]
